id,name,population,state,state_id
2478,Lincoln,34117,Tennessee,43
2479,Loudon,53054,Tennessee,43
2480,McMinn,53285,Tennessee,43
2481,McNairy,25832,Tennessee,43
2482,Macon,24265,Tennessee,43
2483,Madison,97605,Tennessee,43
2484,Marion,28575,Tennessee,43
2485,Marshall,33683,Tennessee,43
2486,Maury,94340,Tennessee,43
2487,Meigs,12306,Tennessee,43
2488,Monroe,46357,Tennessee,43
2489,Montgomery,205950,Tennessee,43
2490,Moore,6411,Tennessee,43
2491,Morgan,21579,Tennessee,43
2492,Obion,30267,Tennessee,43
2493,Overton,22068,Tennessee,43
2494,Perry,8064,Tennessee,43
2495,Pickett,5082,Tennessee,43
2496,Polk,16898,Tennessee,43
2497,Putnam,78843,Tennessee,43
2498,Rhea,33044,Tennessee,43
2499,Roane,53140,Tennessee,43
2500,Robertson,71012,Tennessee,43
2501,Rutherford,324890,Tennessee,43
2502,Scott,22039,Tennessee,43
2503,Sequatchie,14876,Tennessee,43
2504,Sevier,97892,Tennessee,43
2505,Shelby,935764,Tennessee,43
2506,Smith,19942,Tennessee,43
2507,Stewart,13561,Tennessee,43
2508,Sullivan,157668,Tennessee,43
2509,Sumner,187149,Tennessee,43
2510,Tipton,61581,Tennessee,43
2511,Trousdale,11012,Tennessee,43
2512,Unicoi,17761,Tennessee,43
2513,Union,19688,Tennessee,43
2514,Van Buren,5765,Tennessee,43
2515,Warren,40878,Tennessee,43
2516,Washington,128607,Tennessee,43
2517,Wayne,16558,Tennessee,43
2518,Weakley,33415,Tennessee,43
2519,White,27107,Tennessee,43
2520,Williamson,231729,Tennessee,43
2521,Wilson,140625,Tennessee,43
2522,Anderson,58057,Texas,44
2523,Andrews,18128,Texas,44
2524,Angelina,87092,Texas,44
2525,Aransas,23792,Texas,44
2526,Archer,8786,Texas,44
2527,Armstrong,1892,Texas,44
2528,Atascosa,50310,Texas,44
2529,Austin,29989,Texas,44
2530,Bailey,7027,Texas,44
2531,Bandera,22824,Texas,44
2532,Bastrop,86976,Texas,44
2533,Baylor,3582,Texas,44
2534,Bee,32587,Texas,44
2535,Bell,355642,Texas,44
2536,Bexar,1986049,Texas,44
2537,Blanco,11702,Texas,44
2538,Borden,648,Texas,44
2539,Bosque,18691,Texas,44
2540,Bowie,94324,Texas,44
2541,Brazoria,370200,Texas,44
2542,Brazos,226758,Texas,44
2543,Brewster,9267,Texas,44
2544,Briscoe,1516,Texas,44
2545,Brooks,7114,Texas,44
2546,Brown,37924,Texas,44
2547,Burleson,18389,Texas,44
2548,Burnet,47542,Texas,44
2549,Caldwell,43247,Texas,44
2550,Calhoun,21561,Texas,44
2551,Callahan,13994,Texas,44
2552,Cameron,423908,Texas,44
2553,Camp,13033,Texas,44
2554,Carson,6005,Texas,44
2555,Cass,30119,Texas,44
2556,Castro,7665,Texas,44
2557,Chambers,42454,Texas,44
2558,Cherokee,52592,Texas,44
2559,Childress,7291,Texas,44
2560,Clay,10456,Texas,44
2561,Cochran,2836,Texas,44
2562,Coke,3370,Texas,44
2563,Coleman,8397,Texas,44
2564,Collin,1005146,Texas,44
2565,Collingsworth,2962,Texas,44
2566,Colorado,21217,Texas,44
2567,Comal,148373,Texas,44
2568,Comanche,13534,Texas,44
2569,Concho,4276,Texas,44
2570,Cooke,40574,Texas,44
2571,Coryell,74808,Texas,44
2572,Cottle,1389,Texas,44
2573,Crane,4794,Texas,44
2574,Crockett,3499,Texas,44
2575,Crosby,5779,Texas,44
2576,Culberson,2204,Texas,44
2577,Dallam,7200,Texas,44
2578,Dallas,2637772,Texas,44
2579,Dawson,12619,Texas,44
2580,Deaf Smith,18760,Texas,44
2581,Delta,5349,Texas,44
2582,Denton,859064,Texas,44
2583,DeWitt,20187,Texas,44
2584,Dickens,2249,Texas,44
2585,Dimmit,10308,Texas,44
2586,Donley,3319,Texas,44
2587,Duval,11212,Texas,44
2588,Eastland,18322,Texas,44
2589,Ector,162124,Texas,44
2590,Edwards,1928,Texas,44
2591,Ellis,179436,Texas,44
2592,El Paso,840758,Texas,44
2593,Erath,42446,Texas,44
2594,Falls,17335,Texas,44
2595,Fannin,35286,Texas,44
2596,Fayette,25349,Texas,44
2597,Fisher,3839,Texas,44
2598,Floyd,5837,Texas,44
2599,Foard,1200,Texas,44
2600,Fort Bend,787858,Texas,44
2601,Franklin,10766,Texas,44
2602,Freestone,19808,Texas,44
2603,Frio,19816,Texas,44
2604,Gaines,20901,Texas,44
2605,Galveston,337890,Texas,44
2606,Garza,6578,Texas,44
2607,Gillespie,26804,Texas,44
2608,Glasscock,1388,Texas,44
2609,Goliad,7584,Texas,44
